id_produto;pn;nome;local_catalogo;status_catalogo;qty_catalogo;qty_estoque_disponivel;diferenca;cadastros_no_catalogo;ids_duplicados;classificacao
699;2523651;PIN;;ATIVO;34;0.000;34.000;1;699;SEM_ENTRADA_NO_MODULO_ESTOQUE
315;AS3209-116;O'RING;A8;ATIVO;34;0.000;34.000;1;315;SEM_ENTRADA_NO_MODULO_ESTOQUE
751;NAS118908P12KW;SCREW;;ATIVO;32;0.000;32.000;1;751;SEM_ENTRADA_NO_MODULO_ESTOQUE
53;951394;PACKING;B1;ATIVO;42;73.000;-31.000;1;53;ESTOQUE_MAIOR_QUE_CATALOGO
461;19492;PACKING;;ATIVO;29;0.000;29.000;1;461;SEM_ENTRADA_NO_MODULO_ESTOQUE
172;M25988-4-018;PACKING;D5;ATIVO;29;0.000;29.000;1;172;SEM_ENTRADA_NO_MODULO_ESTOQUE
401;94503-22;PACKING;;ATIVO;28;0.000;28.000;1;401;SEM_ENTRADA_NO_MODULO_ESTOQUE
408;AS3208-02;PACKING;;ATIVO;28;0.000;28.000;1;408;SEM_ENTRADA_NO_MODULO_ESTOQUE
105;557-S-2;PACKING;A1;ATIVO;78;52.000;26.000;1;105;CATALOGO_MAIOR_QUE_ESTOQUE
62;951787;PACKING;B6;ATIVO;25;0.000;25.000;1;62;SEM_ENTRADA_NO_MODULO_ESTOQUE
628;AS3209-020;PACKING;;ATIVO;20;0.000;20.000;1;628;SEM_ENTRADA_NO_MODULO_ESTOQUE
127;2523549;TUBE;D5;ATIVO;19;0.000;19.000;1;127;SEM_ENTRADA_NO_MODULO_ESTOQUE
52;951392;PACKING;D3;ATIVO;17;0.000;17.000;1;52;SEM_ENTRADA_NO_MODULO_ESTOQUE
313;3005305;WASHER TAB;B1;ATIVO;16;0.000;16.000;1;313;SEM_ENTRADA_NO_MODULO_ESTOQUE
151;2526226;PLUG;C1;ATIVO;12;0.000;12.000;1;151;SEM_ENTRADA_NO_MODULO_ESTOQUE
328;9049861-2;WARNING LABEL;;ATIVO;12;0.000;12.000;1;328;SEM_ENTRADA_NO_MODULO_ESTOQUE
373;AS3209-22;PACKING;C5;ATIVO;12;0.000;12.000;1;373;SEM_ENTRADA_NO_MODULO_ESTOQUE
698;AS3209-224;PACKING;;ATIVO;12;0.000;12.000;1;698;SEM_ENTRADA_NO_MODULO_ESTOQUE
